design,scenario,M_flow,CV_flow,M_thermal,RMS_target_error,max_abs_target_error,zero_load_flow_fraction,T_out_max_C,T_out_min_C,outlet_spread_K,rack_dp_Pa,system_dp_Pa,rack_flow_LPM,heat_W,T_return_C,rack_deltaT_K,pump_hydraulic_W,pump_electrical_W,header_volume_m3,min_header_ID_m,max_header_ID_m,max_header_velocity_m_s,resolved_fluid_volume_m3,minimum_normalized_margin,feasible,error,failed_constraints
D116,nonuniform,1.0837416481922404,0.5020997522630548,0.7736752503727037,0.3721401343630204,0.5686233829142548,0.0,54.300702785116755,47.01352884200179,7.287173943114965,107136.80588032375,107136.80588032375,116.0,89460.0,50.99627488620865,10.996274886208653,207.1311580352926,345.21859672548766,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6759349002350616,0.0054545766446872325,0.0,True,,
D116,switch_heavy,1.0847589745294444,0.5022583103067654,0.1932299416438388,0.08844373221063895,0.15272148946511235,0.0,57.076010247660065,54.00695827600862,3.0690519716514473,107053.40537752706,107053.40537752706,116.0,117792.0,54.4726995159366,14.472699515936597,206.969917063219,344.9498617720317,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6788113173357375,0.0054545766446872325,-0.006820936639118418,False,,HX_capacity
D116,near_zero,1.081972601838122,0.5021760631357405,26.999875838634278,1072649.8360572988,5573652.044344999,0.0,54.30578714401605,40.000002423818216,14.305784720197835,107067.69523567987,107067.69523567987,116.0,109760.001,53.4874451765362,13.487445176536198,206.99754412231442,344.99590687052404,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6779951091501522,0.0054545766446872325,0.0,True,,
D116,blocked,1.1030248501726971,0.507221026758028,0.38546774377326587,0.07126983239557794,0.35609391042152116,0.0,62.03034509145863,53.76773612852827,8.262608962930358,111192.87722978277,111192.87722978277,116.0,115560.0,54.19893224298369,14.198932242983688,214.97289597758,358.28815996263336,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6785844423461518,0.0054545766446872325,0.0,True,,
D116,degraded_qdc,1.0870318532168948,0.5016399985317933,0.09429034840667995,0.016602788181056354,0.07793755686360426,0.0,55.39686596444972,53.96905935382284,1.4278066106268739,108066.48370697197,108066.48370697197,116.0,115560.0,54.19893224298369,14.198932242983688,208.92853516681248,348.2142252780208,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.678584442346152,0.0054545766446872325,0.0,True,,
D116,double_resistance,1.0924108099840475,0.5022991662927481,0.19247422068961267,0.03472299253072188,0.17149599860726916,0.0,57.13194941016434,53.9006913341708,3.231258075993537,109113.06116131347,109113.06116131347,116.0,115560.0,54.19893224298369,14.198932242983688,210.95191824520603,351.5865304086767,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6785844423461518,0.0054545766446872325,0.0,True,,
D116,compute_removed,1.0978335937356511,0.5138533365082985,0.01906324032154264,0.005650204500710532,0.012348219143785028,0.0,53.578505446362726,53.32319572687385,0.2553097194888778,118230.5362410508,118230.5362410508,116.0,109760.0,53.48744505385548,13.487445053855481,228.5790367326982,380.9650612211637,0.003842938888242198,0.035260164829076075,0.038488037593577065,1.6832060196314076,0.005379177695847607,-0.028091619487398217,False,,"CDU_external_head, pump_curve"
D116,switch_removed,1.0550285981851628,0.4786486557366807,0.020333088764459654,0.005972788003060095,0.013163340027163394,0.0,54.14812391081625,53.86463662173412,0.2834872890821316,109222.85859120527,109222.85859120527,116.0,114320.0,54.04683147979762,14.046831479797618,211.1641932763302,351.94032212721703,0.003842938888242198,0.035260164829076075,0.038488037593577065,1.6784584206894229,0.005426301585651453,0.0,True,,
D116,pump_reduced,1.0838107621235376,0.5016138385491805,0.021827221088188097,0.006673591467303244,0.01368436322152628,0.0,57.29423926163173,56.922277736872104,0.3719615247596266,73608.27324096848,73608.27324096848,95.98621022042045,115560.0,57.15336825226626,17.15336825226626,117.7563198211625,196.26053303527084,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.3910024290772962,0.0054545766446872325,-0.1551562371438791,False,,HX_capacity
D116,pump_unavailable,1.0833671750575584,0.5010513259867254,0.022837157225510697,0.00759092429133945,0.013914477006652706,0.0,61.332592449014044,60.852532425088896,0.480060023925148,48665.3518302669,48665.3518302669,77.84014005963732,115560.0,61.141943819430935,21.141943819430935,63.13529670865839,105.22549451443065,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.1302638137831609,0.0054545766446872325,-0.3063734884837386,False,,HX_capacity
D116,warm_coolant,1.0854506238367905,0.5025997414019111,0.021247499752315453,0.006241520438724953,0.013879632758147973,0.0,59.32179328024051,59.02227545232773,0.2995178279127799,106284.06352649593,106284.06352649593,116.0,115560.0,59.21656525005926,14.216565250059261,205.48252281789212,342.47087136315355,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6786279974437306,0.0054545766446872325,0.0,True,,
D116,warm_facility,1.0846314220584137,0.5022002838129656,0.021276779902688694,0.006206876799744905,0.013695501534761855,0.0,54.3072568241663,54.007423002961275,0.2998338212050271,107046.34878961845,107046.34878961845,116.0,115560.0,54.19893224298369,14.198932242983688,206.9562743265957,344.9271238776595,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6785844423461516,0.0054545766446872325,-1.25,False,,"HX_capacity, HX_approach"
D116,nominal102,1.0844346896431125,0.502125590686801,0.021217472338284627,0.006204933826634673,0.013629661619296869,0.0,52.631093463792524,52.36702990051282,0.2640635632797057,107080.17911053103,107080.17911053103,116.0,101999.99999999999,52.535332681629825,12.535332681629825,207.02167961369332,345.0361326894889,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6772071101602966,0.0054545766446872325,0.0,True,,
D116,OEM115,1.0846232527651802,0.5021971805675916,0.021274323822989105,0.006206653428130726,0.013692769080511404,0.0,54.23804886752271,53.93969544250808,0.2983534250146249,107047.73415922877,107047.73415922877,116.0,115000.0,54.130242268688846,14.130242268688846,206.9589527078423,344.93158784640383,0.003842939613395669,0.035260164829076075,0.038488037593577065,1.6785275275707785,0.0054545766446872325,0.0,True,,
