design,time_s,tray,liquid_W,electrical_W,connection,bore_mm,flow_LPM,solid_C
active,164.0,C06,1740.0,1740.0,1.0,3.0409555564614146,4.346490467979007,59.13168798146215
active,164.0,C07,1740.0,1740.0,1.0,3.042971306988938,4.349296343556241,59.13328744674492
active,164.0,C08,1740.0,1740.0,1.0,3.0447259347786138,4.351726703489528,59.134681812424
active,164.0,C09,1740.0,1740.0,1.0,3.0462371473153897,4.353808589960123,59.13588419367941
active,164.0,S01,1240.0,1240.0,1.0,1.5416175453633583,1.237817257065255,68.88161342559009
active,164.0,S02,0.0,0.0,0.0,1.6500000544713798,0.0,65.52532632613854
active,164.0,S03,1240.0,1240.0,1.0,1.5422936260777313,1.2383369156946529,68.87890842082244
active,164.0,S04,1240.0,1240.0,1.0,1.5426171222251015,1.2385859294249002,68.87762697663133
active,164.0,S05,1240.0,1240.0,1.0,1.5364414563095978,1.2289650822228366,68.89402154080969
active,164.0,S06,1240.0,1240.0,1.0,1.5367403646175999,1.2291993026407917,68.89281474230631
active,164.0,S07,1240.0,1240.0,1.0,1.5370280584429385,1.2294269798586739,68.89164548836644
active,164.0,S08,1240.0,1240.0,1.0,1.537304737480922,1.2296481615951267,68.89051351888635
active,164.0,S09,1240.0,1240.0,1.0,1.5375706038709631,1.2298628971486276,68.88941856433088
active,164.0,C10,1740.0,1740.0,1.0,3.0572608913579864,4.368952814666776,59.144779063594704
active,164.0,C11,1740.0,1740.0,1.0,3.057999902293014,4.369975942280009,59.145385966802785
active,164.0,C12,1740.0,1740.0,1.0,3.058584540542133,4.3707793288889505,59.14586747758995
active,164.0,C13,1740.0,1740.0,1.0,3.0590337951794977,4.371390306144979,59.14623883752989
active,164.0,C14,1740.0,1740.0,1.0,3.0593668707091255,4.371836404025226,59.146515543773795
active,164.0,C15,1740.0,1740.0,1.0,3.0596031980621494,4.372145377341407,59.146713330653824
active,164.0,C16,1740.0,1740.0,1.0,3.0597624070943716,4.372345130472605,59.14684817055537
active,164.0,C17,1740.0,1740.0,1.0,3.0598644776119825,4.372465679343689,59.14693629860662
active,164.0,C18,1740.0,1740.0,1.0,3.059928858192744,4.3725321652963,59.14699343790031
active,166.0,C01,0.0,0.0,0.0,3.2176542233768597,0.0,51.0138408639334
active,166.0,C02,1740.0,1740.0,1.0,2.915628354120917,4.080060157196522,58.981881316020996
active,166.0,C03,1740.0,1740.0,1.0,2.918668975057746,4.0847070803281555,58.98417631228011
active,166.0,C04,1740.0,1740.0,1.0,2.921400211040866,4.088865280937467,58.98624480864418
active,166.0,C05,1740.0,1740.0,1.0,2.923837571661213,4.092561432170217,58.98809626691156
active,166.0,C06,1740.0,1740.0,1.0,2.925996879205632,4.0958223341931275,58.989740792469995
active,166.0,C07,1740.0,1740.0,1.0,2.927894244270016,4.098674908456344,58.99118907496617
active,166.0,C08,1740.0,1740.0,1.0,2.9295460432578984,4.10114619490493,58.99245233166729
active,166.0,C09,1740.0,1740.0,1.0,2.9309688980166477,4.103263352134919,58.99354225397023
active,166.0,S01,1240.0,1240.0,1.0,1.5416175453633583,1.236504177831369,68.88696441024287
active,166.0,S02,0.0,0.0,0.0,1.6500000544713798,0.0,65.5132758909647
active,166.0,S03,1240.0,1240.0,1.0,1.5422936260777313,1.2370642304079202,68.88421966662487
active,166.0,S04,1240.0,1240.0,1.0,1.5426171222251015,1.2373329869231082,68.88291917143347
active,166.0,S05,1240.0,1240.0,1.0,1.5364414563095978,1.2277410261733566,68.9010662166139
active,166.0,S06,1240.0,1240.0,1.0,1.5367403646175999,1.2279938957833894,68.89984130968372
active,166.0,S07,1240.0,1240.0,1.0,1.5370280584429385,1.2282397504149885,68.89865446250776
active,166.0,S08,1240.0,1240.0,1.0,1.537304737480922,1.228478635030418,68.89750540726227
active,166.0,S09,1240.0,1240.0,1.0,1.5375706038709631,1.2287105962197147,68.89639386658607
active,166.0,C10,1740.0,1740.0,1.0,2.941349008571526,4.118707766776204,59.00161702800576
active,166.0,C11,1740.0,1740.0,1.0,2.942044742254933,4.119753558511302,59.0021684767139
